"","V1"
"1",6
"2",2
"3",2
"4",2
"5",2
"6",6
"7",5
"8",5
"9",5
"10",4
"11",3
"12",7
"13",1
"14",1
"15",4
"16",4
"17",8
"18",8
"19",8
"20",8
"21",8
"22",4
"23",4
"24",8
