"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","will","men","nation","great","call","constitut","will","will"
"2","law","thing","can","may","still","state","america","govern"
"3","upon","life","world","war","civil","power","new","countri"
"4","shall","good","peopl","unit","less","can","time","public"
"5","must","govern","freedom","made","war","upon","american","nation"
"6","peopl","industri","peac","year","servic","may","must","interest"
"7","govern","upon","hope","state","never","one","let","duti"
"8","congress","moral","free","import","pledg","govern","make","power"
"9","make","wish","human","without","give","peopl","today","principl"
"10","administr","use","must","nation","shall","union","now","peopl"
"11","polici","action","need","everi","friend","citizen","one","shall"
"12","secur","understand","right","maintain","light","institut","god","equal"
"13","now","polit","faith","forc","even","part","work","state"
"14","busi","republ","man","parti","father","exist","everi","preserv"
"15","question","mean","help","time","sens","right","great","foreign"
"16","protect","thought","progress","reason","find","free","day","peac"
"17","offic","way","justic","respect","may","charact","world","everi"
"18","american","concern","live","support","care","execut","govern","present"
"19","condit","task","home","purpos","spirit","patriot","togeth","best"
"20","elect","fact","seek","necessari","rule","exercis","citizen","union"
